batch_size,epochs,learning_rate,n_classes,regularization,train_accuracy,train_f1_macro,train_f1_micro,val_accuracy,val_f1_macro,val_f1_micro
16,6,5e-05,6,0.0,0.961875,0.9396800773254426,0.961875,0.926,0.8948931605622281,0.926
32,6,5e-05,6,0.0,0.9555625,0.929534725881176,0.9555625,0.9285,0.8987941813327921,0.9285
16,6,5e-05,6,1e-05,0.9428125,0.9129449426660902,0.9428125,0.928,0.903109042768376,0.928
32,6,5e-05,6,1e-05,0.3265625,0.1199613715038668,0.3265625,0.352,0.0867850098619329,0.352
16,6,1e-05,6,0.0,0.957375,0.9328047345840137,0.957375,0.9295,0.9055071649780136,0.9295
32,6,1e-05,6,0.0,0.952125,0.926821501863324,0.952125,0.9265,0.9005118608654569,0.9265
16,6,1e-05,6,1e-05,0.9724375,0.9530463730497237,0.9724375,0.919,0.8943018832161086,0.919
