word,emotion,score
behalf,anger,6.331338839056494e-05
behavior,anger,0.00010931620050864015
behaviour,anger,1.0096268618108273e-05
behind,anger,5.459357936493612e-06
believe,anger,4.775504367303603e-06
belong,anger,8.872845064515597e-06
beloved,anger,1.4632285012461094e-05
beside,anger,9.531812806191731e-05
best,anger,5.255444971469195e-06
bet,anger,1.587102983388972e-05
betrayed,anger,1.162889653707393e-05
beyond,anger,9.039583019133437e-06
big,anger,3.975826183560042e-05
bike,anger,4.4911235445121825e-05
biochemistry,anger,0.00013754506474958654
bit,anger,0.00028215678625822133
bitch,anger,9.68556016485492e-05
bitchy,anger,0.020097022505559548
bitter,anger,0.019230241952705174
black,anger,2.616209390040729e-05
bladder,anger,2.384961831830822e-05
blame,anger,4.012680013035094e-05
blaming,anger,9.768943399770544e-06
bleed,anger,6.566671316074766e-05
blender,anger,1.0879445627154894e-05
blindly,anger,1.1169200845419886e-05
block,anger,7.648294003691901e-06
blog,anger,3.7046623131493695e-05
blogger,anger,3.446286865178393e-07
blossom,anger,5.105237493385582e-05
blow,anger,8.514922039920552e-06
blu,anger,5.60398530170982e-06
blue,anger,4.850623783034484e-06
blunt,anger,0.0003577309722963953
blur,anger,5.457597358529601e-06
blurt,anger,7.544154325684898e-05
boasting,anger,9.241949961274455e-05
boat,anger,7.5037874761753705e-06
bodega,anger,2.6592498132686903e-05
bodily,anger,0.00025567077597856027
body,anger,8.191320567272549e-05
bogged,anger,1.0757115694272963e-05
boil,anger,8.664145760128763e-06
bonham,anger,5.589735872712687e-06
book,anger,5.240653661879039e-05
boost,anger,6.793696665523564e-05
boring,anger,0.00011926306402384468
borne,anger,4.638282019888842e-05
borrow,anger,6.398100334839048e-05
bos,anger,1.4491558418692855e-05
boss,anger,5.592116771866076e-06
both,anger,3.238844944716221e-05
bother,anger,0.020110134668028103
bottle,anger,7.282890567964652e-06
boy,anger,0.00043323668008108556
boyfriend,anger,7.728948983571433e-05
boys,anger,1.621828424679122e-05
brainstorm,anger,2.156909359099015e-05
brave,anger,5.6386335993680346e-05
break,anger,1.996194608324878e-05
breath,anger,5.091730753961831e-06
breathing,anger,3.143319120295691e-05
breed,anger,2.88818664520916e-05
brilliant,anger,5.468202881236346e-06
bring,anger,7.4889264910686165e-06
brood,anger,1.6148328568697547e-05
brother,anger,4.762870448992303e-06
brought,anger,1.8291938933632502e-05
brown,anger,5.298097957645334e-06
browse,anger,2.173728335145292e-05
buddhism,anger,1.8198011964479196e-05
build,anger,1.5477886629626757e-05
building,anger,0.0003342749278265975
bum,anger,5.414882192588478e-06
bumper,anger,0.00017983764346724516
bunk,anger,0.0003453341666411268
burden,anger,6.0069847016134294e-06
burlesque,anger,4.314745293596552e-05
burnt,anger,8.193305573378676e-05
bus,anger,3.521706081166941e-05
busy,anger,1.5274674215760668e-05
