word,emotion,score
abhorrent,anger,0.0005336750662895226
about,anger,0.0005273397170946642
acts,anger,0.0005339139361413575
aggravated,anger,0.007246661676179614
agitated,anger,0.013603274088151457
agreement,anger,0.0002679352581650516
airport,anger,0.000534392157221439
alcoholic,anger,0.0005353505289167417
all,anger,0.0006761745140955917
alone,anger,0.00024586456637531415
also,anger,0.0005245110749340033
always,anger,0.0009129410786835484
am,anger,0.00035762118745500196
amp,anger,0.0005083665846106114
anatomy,anger,0.000533356822434634
and,anger,0.008078451772686165
angered,anger,0.006725042433532122
angry,anger,0.01356922006902018
annoyed,anger,0.01867371301595406
appalled,anger,0.0047648725530051545
apple,anger,0.0005345517070345051
appointment,anger,0.00047966651333250314
argument,anger,0.0005330388631590176
arms,anger,0.00039421246822786784
army,anger,0.0005356705591163924
around,anger,0.0011277190296838091
artist,anger,0.00021221477057769344
as,anger,0.001126196484970716
asciatic,anger,0.00053311832631754
at,anger,0.0022677329089382417
bad,anger,0.0007184354212265671
because,anger,0.000528768470022753
been,anger,0.0008646433315112705
bet,anger,0.00018391946783400106
betrayed,anger,0.0005233480792024421
biochemistry,anger,0.00053137423243466
bit,anger,0.0006427749606608804
bitchy,anger,0.020249020116366024
bitter,anger,0.0202792740910834
black,anger,0.0005050873359290941
blunt,anger,0.0005359908763703617
boasting,anger,0.0005316115590208561
boat,anger,0.0004597986695850026
both,anger,0.0005259135109632389
bothered,anger,0.02106356934096191
boy,anger,0.0005319282418747407
bumper,anger,0.0005328005802547594
busy,anger,0.0004892327510849515
but,anger,0.0029363154608897093
by,anger,0.0008699277298012552
came,anger,0.0002682158905912515
can,anger,0.0009191799474946379
caught,anger,0.0004856608999318205
child,anger,0.0005324831181795953
close,anger,5.3603056070160696e-05
cold,anger,0.018519617421085814
comments,anger,0.00048660357509298143
concidence,anger,0.0005323244935316151
confrontation,anger,0.0004465860641371574
consideration,anger,0.0010606427285942987
contagious,anger,0.000506817448049437
could,anger,0.0005024473116144106
coupled,anger,0.00040870992852000274
cranky,anger,0.020452148935441113
crying,anger,0.0007396951056761583
curious,anger,0.0009221517762232553
damaged,anger,0.0005191275301766154
dangerous,anger,0.021736752625220682
depressed,anger,0.0005263104268205684
deprived,anger,0.0004815045908220602
description,anger,0.000534073271817349
desire,anger,0.0005056860682338829
despised,anger,0.004213160031543574
didnt,anger,0.0004827886030642528
discovered,anger,0.0004827886030642528
disgust,anger,0.0005358306818400876
disgusted,anger,0.01698690714394101
dissatisfied,anger,0.021664961984850014
distracted,anger,0.019489063762209456
disturbed,anger,0.0009288862011818232
do,anger,0.0007736996843978399
doesnt,anger,0.00035762118745500196
don,anger,0.0006455062433562785
during,anger,0.0005314533236354768
enraged,anger,0.00425112206117174
envious,anger,0.015903175096783982
epileptic,anger,0.0005350307854297267
ethiopia,anger,0.0005325624570931543
even,anger,0.0014822457111621798
everything,anger,0.0004244295411553873
